CRN	SUBJ_CODE	CRSE_NUMB	COURSE_SECTION_TITLE	SEM_OFFERED	CAMPUS	SECTION	SCHED_TYPE	QUOTA	STAFF_ID	INSTRUCTOR	START_DATE	END_DATE	DAY	START_TIME	END_TIME	ROOM_DESC	Primary Instructor/First Examiner	Update Status (OK, Amend, Remove, Add)
25645	COMP	1220	Computing and Society COMP1220 TUTORIAL	201520	Mona	T11	Tutorial/Discussions	25	TUTOR	TUTOR	18-Jan-16	14-Apr-16	Tues	3:00 PM	3:59 PM	Computer Science Tutorial Room 1		
26768	COMP	1220	Computing and Society	201520	Mona	T12	Tutorial/Discussions	25	TUTOR	TUTOR	18-Jan-16	14-Apr-16	Wed	6:00 PM	6:59 PM	Computing Lecture Room		
26769	COMP	1220	Computing and Society	201520	Mona	T13	Tutorial/Discussions	25	TUTOR	TUTOR	18-Jan-16	14-Apr-16	Wed	7:00 PM	7:59 PM	Computing Lecture Room		
26771	COMP	2130	Systems Programming	201520	Mona	B01	Lab	80	10019348	Kevin J. Miller	18-Jan-16	15-Apr-16	Fri	8:00 AM	9:59 AM	PAS Computer Science Lab 2		
25664	COMP	2130	Systems Programming	201520	Mona	M11	Lecture	80	10019348	Kevin J. Miller	18-Jan-16	15-Apr-16	Wed	9:00 AM	9:59 AM	Computing Lecture Room		
25664	COMP	2130	Systems Programming	201520	Mona	M11	Lecture	80	10019348	Kevin J. Miller	18-Jan-16	15-Apr-16	Fri	10:00 AM	10:59 AM	Computing Lecture Room		
20595	COMP	2170	(CS28Q) Object Technology	201520	Mona	M11	Lecture	100	10034383	Claudine A. Allen	18-Jan-16	14-Apr-16	Mon	5:00 PM	6:59 PM	LAW LECTURE THEATRE 2		AMEND
20595	COMP	2170	(CS28Q) Object Technology	201520	Mona	M11	Lecture	100	10034383	Claudine A. Allen	18-Jan-16	14-Apr-16	Tues	8:00 PM	8:59 PM	LAW LECTURE THEATRE 2		AMEND
24137	COMP	2170	(CS28Q) Object Technology Tutorial COMP2170	201520	Mona	T01	Tutorial/Discussions	25	TUTOR	TUTOR	18-Jan-16	8-Apr-16	Fri	9:00 AM	9:59 AM	Computer Science Tutorial Room 2		
21286	COMP	2170	(CS28Q) Object Technology Tutorial COMP2170	201520	Mona	T02	Tutorial/Discussions	25	TUTOR	TUTOR	18-Jan-16	14-Apr-16	Thur	9:00 AM	9:59 AM	Computer Science Tutorial Room 1		
22658	COMP	2170	(CS28Q) Object Technology	201520	Mona	T03	Tutorial/Discussions	25	10034383	Claudine A. Allen	18-Jan-16	14-Apr-16	Mon	3:00 PM	3:59 PM	POST GRAD COMPUTER ROOM		
24720	COMP	2170	(CS28Q) Object Technology	201520	Mona	T04	Tutorial/Discussions	25	TUTOR	TUTOR	18-Jan-16	15-Apr-16	Wed	2:00 PM	2:59 PM	POST GRAD COMPUTER ROOM		
26772	COMP	2170	(CS28Q) Object Technology	201520	Mona	T05	Tutorial/Discussions	25	TUTOR	TUTOR	18-Jan-16	15-Apr-16	Wed	5:00 PM	5:59 PM	Post Grad Computer Room		
25180	COMP	2211	Analysis of Algorithms	201520	Mona	M11	Lecture	125	10015248	Daniel N. Coore	18-Jan-16	15-Apr-16	Mon	4:00 PM	4:59 PM	PAS: PreClinical Lecture Theatre		
25180	COMP	2211	Analysis of Algorithms	201520	Mona	M11	Lecture	125	10015248	Daniel N. Coore	18-Jan-16	15-Apr-16	Tues	1:00 PM	1:59 PM	PAS Science Lecture Theatre		
25180	COMP	2211	Analysis of Algorithms	201520	Mona	M11	Lecture	125	10015248	Daniel N. Coore	18-Jan-16	15-Apr-16	Fri	11:00 AM	11:59 AM	PAS: PreClinical Lecture Theatre		
25181	COMP	2211	Analysis of Algorithms	201520	Mona	T01	Tutorial/Discussions	25	10015248	Daniel N. Coore	18-Jan-16	15-Apr-16	Tues	10:00 AM	10:59 AM	Computer Science Tutorial Room 2		
25182	COMP	2211	Analysis of Algorithms	201520	Mona	T02	Tutorial/Discussions	25	10015248	Daniel N. Coore	18-Jan-16	15-Apr-16	Thur	12:00 PM	12:59 PM	Computer Science Tutorial Room 1		
25183	COMP	2211	Analysis of Algorithms	201520	Mona	T03	Tutorial/Discussions	25	TUTOR	TUTOR	18-Jan-16	15-Apr-16	Wed	5:00 PM	5:59 PM	Computer Science Tutorial Room 1		
25184	COMP	2211	Analysis of Algorithms	201520	Mona	T04	Tutorial/Discussions	25	TUTOR	TUTOR	18-Jan-16	15-Apr-16	Tues	5:00 PM	5:59 PM	Computer Science Tutorial Room 1		
25321	COMP	2211	Analysis of Algorithms TUTORIAL COMP2211	201520	Mona	T05	Tutorial/Discussions	25	10015248	Daniel N. Coore	18-Jan-16	15-Apr-16	Mon	2:00 PM	2:59 PM	POST GRAD COMPUTER ROOM		
25187	COMP	2340	Computer Systems Organization LAB COMP2340	201520	Mona	B01	Lab	250	10034560	Simon U. Ewedafe	18-Jan-16	14-Apr-16	Wed	12:00 PM	1:59 PM	PAS Computer Science Lab 2		
25312	COMP	2340	Computer Systems Organization	201520	Mona	B02	Lab	250	P_CS_TB02	Tba 2 Computing	18-Jan-16	15-Apr-16	Fri	12:00 PM	1:59 PM	Computer Lab Lab 1		
25313	COMP	2340	Computer Systems Organization	201520	Mona	M11	Lecture	150	10034560	Simon U. Ewedafe	18-Jan-16	14-Apr-16	Wed	3:00 PM	3:59 PM	LAW LECTURE THEATRE 2		AMEND
25313	COMP	2340	Computer Systems Organization	201520	Mona	M11	Lecture	150	10034560	Simon U. Ewedafe	18-Jan-16	14-Apr-16	Thur	10:00 AM	10:59 AM	LAW LECTURE THEATRE 2		AMEND
25314	COMP	2340	Computer Systems Organization TUTORIAL COMP2340	201520	Mona	T01	Tutorial/Discussions	25	TUTOR	TUTOR	18-Jan-16	14-Apr-16	Mon	10:00 AM	10:58 AM	Computer Science Tutorial Room 1		
25315	COMP	2340	Computer Systems Organization TUTORIAL COMP2340	201520	Mona	T02	Tutorial/Discussions	25	10034560	Simon U. Ewedafe	18-Jan-16	14-Apr-16	Tues	9:00 AM	9:59 AM	Computer Science Tutorial Room 1		
25316	COMP	2340	Computer Systems Organization TUTORIAL COMP2340	201520	Mona	T03	Tutorial/Discussions	25	TUTOR	TUTOR	18-Jan-16	14-Apr-16	Tues	2:00 PM	2:59 PM	Computer Science Tutorial Room 2		
25317	COMP	2340	Computer Systems Organization TUTORIAL COMP2340	201520	Mona	T04	Tutorial/Discussions	25	10034560	Simon U. Ewedafe	18-Jan-16	14-Apr-16	Mon	9:00 AM	9:59 AM	POST GRAD COMPUTER ROOM		
25318	COMP	2340	Computer Systems Organization TUTORIAL COMP2340	201520	Mona	T05	Tutorial/Discussions	25	TUTOR	TUTOR	18-Jan-16	14-Apr-16	Tues	4:00 PM	4:59 PM	POST GRAD COMPUTER ROOM		
25319	COMP	2340	Computer Systems Organization TUTORIAL COMP2340	201520	Mona	T06	Tutorial/Discussions	25	TUTOR	TUTOR	18-Jan-16	14-Apr-16	Fri	10:00 AM	10:59 AM	Computer Science Tutorial Room 1		
