CRN	SUBJ_CODE	CRSE_NUMB	COURSE_SECTION_TITLE	SEM_OFFERED	CAMPUS	SECTION	SCHED_TYPE	QUOTA	STAFF_ID	INSTRUCTOR	START_DATE	END_DATE	DAY	START_TIME	END_TIME	ROOM_DESC	Primary Instructor/First Examiner	Update Status (OK, Amend, Remove, Add)	
25839	COMP	2340	Computer Systems Organization TUTORIAL COMP2340	201420	Mona	T02	Tutorial/Discussions	25	10034560	Simon Edewafe	19-Jan-15	16-Apr-15	Tues	9:00 AM	9:59 AM	Computer Science Tutorial Room 1		AMEND	
25840	COMP	2340	Computer Systems Organization TUTORIAL COMP2340	201420	Mona	T03	Tutorial/Discussions	25	TUTOR	TUTOR	19-Jan-15	16-Apr-15	Tues	2:00 PM	2:59 PM	Computer Science Tutorial Room 2		AMEND	
25841	COMP	2340	Computer Systems Organization TUTORIAL COMP2340	201420	Mona	T04	Tutorial/Discussions	25	10034560	Simon Edewafe	19-Jan-15	16-Apr-15	Mon	9:00 AM	9:59 AM	POST GRAD COMPUTER ROOM		AMEND	
25842	COMP	2340	Computer Systems Organization TUTORIAL COMP2340	201420	Mona	T05	Tutorial/Discussions	25	TUTOR	TUTOR	19-Jan-15	16-Apr-15	Tues	4:00 PM	4:59 PM	POST GRAD COMPUTER ROOM		OK	
25843	COMP	2340	Computer Systems Organization TUTORIAL COMP2340	201420	Mona	T06	Tutorial/Discussions	25	10034560	Simon Edewafe	19-Jan-15	16-Apr-15	Fri	10:00 AM	10:59 AM	Computer Science Tutorial Room 1		AMEND	
25844	COMP	2340	Computer Systems Organization TUTORIAL COMP2340	201420		TA1	Tutorial/Discussions	25	10017061	Ricardo A. Anderson	19-Jan-15	16-Apr-15	Fri	4:00 PM	4:59 PM			OK	
25687	COMP	3161	Introduction to Database Management Systems	201420	Mona	B01	Lab	100	10019348	Kevin J. Miller	19-Jan-15	17-Apr-15	Wed	2:00 PM	3:59 PM	Computer Lab Lab 1		OK	
25688	COMP	3161	Introduction to Database Management Systems	201420	Mona	M11	Lecture	100	10019348	Kevin J. Miller	19-Jan-15	17-Apr-15	Tues	2:00 PM	2:59 PM	PAS: Science Lecture Theatre		OK	
25688	COMP	3161	Introduction to Database Management Systems	201420	Mona	M11	Lecture	100	10019348	Kevin J. Miller	19-Jan-15	17-Apr-15	Thur	12:00 PM	12:59 PM	PAS: Science Lecture Theatre		OK	
25689	COMP	3161	Introduction to Database Management Systems	201420	Mona	T01	Tutorial/Discussions	25	10019348	Kevin J. Miller	19-Jan-15	17-Apr-15	Mon	9:00 AM	9:59 AM	Computer Science Tutorial Room 1		OK	
25690	COMP	3161	Introduction to Database Management Systems	201420	Mona	T02	Tutorial/Discussions	25	TUTOR	TUTOR	19-Jan-15	17-Apr-15	Tues	1:00 PM	1:59 PM	POST GRAD COMPUTER ROOM		AMEND	
25691	COMP	3161	Introduction to Database Management Systems	201420	Mona	T03	Tutorial/Discussions	25	10019348	Kevin J. Miller	19-Jan-15	17-Apr-15	Mon	12:00 PM	12:59 PM	Computer Science Tutorial Room 2		AMEND	
25692	COMP	3161	Introduction to Database Management Systems	201420	Mona	T04	Tutorial/Discussions	25	10019348	Kevin J. Miller	19-Jan-15	17-Apr-15	Tues	8:00 AM	8:59 AM	Computer Science Tutorial Room 2		OK	
25693	COMP	3702	Theory of Computation	201420	Mona	M11	Lecture	50	10034560	Simon Edewafe	19-Jan-15	17-Apr-15	Mon	3:00 PM	3:59 PM	PAS: Science Lecture Theatre		AMEND	
25693	COMP	3702	Theory of Computation	201420	Mona	M11	Lecture	50	10034560	Simon Edewafe	19-Jan-15	17-Apr-15	Tues	4:00 PM	4:59 PM	PAS: Science Lecture Theatre		AMEND	
25693	COMP	3702	Theory of Computation	201420	Mona	M11	Lecture	50	10034560	Simon Edewafe	19-Jan-15	17-Apr-15	Fri	1:00 PM	1:59 PM	PAS: Science Lecture Theatre		AMEND	
25694	COMP	3702	Theory of Computation	201420	Mona	T01	Tutorial/Discussions	50	10034560	Simon Edewafe	19-Jan-15	17-Apr-15	Mon	1:00 PM	1:59 PM	Computer Science Tutorial Room 1		AMEND	
25696	COMP	3901	Group Project	201420	Mona	T01	Tutorial/Discussions	6	10014403	GUNJAN MANSINGH	19-Jan-15	17-Apr-15	Fri	8:00 AM	9:59 AM			AMEND	
25698	COMP	3901	Group Project	201420	Mona	T02	Tutorial/Discussions	6	10019017	Carl C. Beckford	19-Jan-15	17-Apr-15	Fri	10:00 AM	11:59 AM			AMEND	
25699	COMP	3901	Group Project	201420	Mona	T03	Tutorial/Discussions	6	10009347	Ezra K. Mugisa	19-Jan-15	17-Apr-15	Thur	8:00 AM	9:59 AM			AMEND	
25701	COMP	3901	Group Project	201420	Mona	T05	Tutorial/Discussions	6	10032033	Daniel T. Fokum	19-Jan-15	17-Apr-15	Wed	1:00 PM	2:59 PM			AMEND	
	COMP	3901	Group Project	201420	Mona		Tutorial/Discussions	6	10034560	Simon Edewafe	19-Jan-15	17-Apr-15	Fri	2:00 PM	3:59 PM			ADD	
25702	COMP	3901	Group Project	201420	Mona	T06	Tutorial/Discussions	6	10019397	Curtis C. Busby-Earle	19-Jan-15	17-Apr-15	Fri	2:00 PM	3:59 PM			AMEND	
25704	COMP	3901	Group Project	201420	Mona	T07	Tutorial/Discussions	6	10017952	Eyton A. Ferguson	19-Jan-15	17-Apr-15	Fri	11:00 AM	12:59 PM			AMEND	
25705	COMP	3901	Group Project	201420	Mona	T08	Tutorial/Discussions	6	10019382	Paul A. Gaynor	19-Jan-15	17-Apr-15	Tues	11:00 AM	12:59 PM			AMEND	
25706	COMP	3901	Group Project	201420	Mona	T09	Tutorial/Discussions	6	10034383	Claudine Allen	19-Jan-15	17-Apr-15	Mon	8:00 AM	9:59 AM			AMEND	1
24599	INFO	2100	Mathematics and Statistics for IT	201420	Mona	M11	Lecture	60	10032637	Ricardo A. Baccas	19-Jan-15	10-Apr-15	Mon	12:00 PM	12:59 PM	PAS: PreClinical Lecture Theatre		OK	
24599	INFO	2100	Mathematics and Statistics for IT	201420	Mona	M11	Lecture	60	10032637	Ricardo A. Baccas	19-Jan-15	10-Apr-15	Wed	12:00 PM	1:59 PM	PAS: PreClinical Lecture Theatre		OK	
24600	INFO	2100	Mathematics and Statistics for IT	201420	Mona	T01	Tutorial/Discussions	30	10032637	Ricardo A. Baccas	19-Jan-15	10-Apr-15	Thur	10:00 AM	10:59 AM	Computer Science Tutorial Room 1		AMEND	
24601	INFO	2100	Mathematics and Statistics for IT	201420	Mona	T02	Tutorial/Discussions	30	10032637	Ricardo A. Baccas	19-Jan-15	10-Apr-15	Thur	11:00 AM	11:59 AM	Computer Science Tutorial Room 1		AMEND	
